event,year,top_1,top_8,top_16,top_24,ncaa_qual,a_slope,b_slope,c_slope,a_int,b_int,c_int
50 FR,2020,19.18,19.52,19.75,19.98,19.35,-29.41176471,-39.13043478,-34.7826087,596.1176471,783.826087,695.9565217
50 FR,2021,19.15,19.48,19.71,19.95,19.33,-30.3030303,-37.5,-33.33333333,612.3030303,750.125,666
50 FR,2022,19.12,19.45,19.66,19.92,19.3,-30.3030303,-39.13043478,-30.76923077,611.3939394,780.3043478,613.9230769
50 FR,2023,19.09,19.41,19.62,19.89,19.28,-31.25,-39.13043478,-29.62962963,628.5625,778.7391304,590.3333333
50 FR,2024,19.06,19.37,19.58,19.86,19.25,-32.25806452,-37.5,-28.57142857,646.8387097,745.25,568.4285714
50 FR,2025,19.02,19.33,19.53,19.83,19.22,-32.25806452,-39.13043478,-26.66666667,645.5483871,775.2173913,529.8
50 FR,2026,18.99,19.3,19.49,19.8,19.2,-32.25806452,-39.13043478,-25.80645161,644.5806452,773.6521739,511.9677419
50 FR,2027,18.96,19.26,19.44,19.77,19.17,-33.33333333,-40.90909091,-24.24242424,664,806.2727273,480.2727273
100 FR,2020,42.25,42.52,43.22,43.59,42.47,-37.03703704,-12.5,-21.62162162,1596.814815,551.25,943.4864865
100 FR,2021,42.16,42.39,43.06,43.5,42.39,-43.47826087,-12.85714286,-18.18181818,1865.043478,564.6285714,791.9090909
100 FR,2022,42.07,42.26,42.91,43.38,42.32,-52.63157895,-12.85714286,-17.0212766,2246.210526,562.7,739.3829787
100 FR,2023,41.97,42.14,42.76,43.28,42.25,-58.82352941,-12.85714286,-15.38461538,2500.823529,560.7714286,666.8461538
100 FR,2024,41.88,42.01,42.61,43.17,42.17,-76.92307692,-13.04347826,-14.28571429,3253.538462,566.7826087,617.7142857
100 FR,2025,41.79,41.88,42.46,43.06,42.1,-111.1111111,-13.04347826,-13.33333333,4675.333333,564.826087,575.1333333
100 FR,2026,41.7,41.76,42.3,42.95,42.03,-166.6666667,-13.43283582,-12.30769231,6982,579.2089552,529.6153846
100 FR,2027,41.61,41.63,42.15,42.84,41.95,-500,-13.63636364,-11.5942029,20837,585.7727273,497.6956522
200 FR,2020,93.33,94.32,95.41,96.26,94.06,-10.1010101,-7.96460177,-9.411764706,974.7272727,770.9026549,906.9764706
200 FR,2021,93.14,94.01,95.05,96.02,93.92,-11.49425287,-8.035714286,-8.24742268,1102.574713,774.7946429,792.9175258
200 FR,2022,92.96,93.7,94.69,95.75,93.77,-13.51351351,-8.108108108,-7.547169811,1288.216216,778.7567568,723.6415094
200 FR,2023,92.78,93.39,94.33,95.49,93.63,-16.39344262,-8.181818182,-6.896551724,1552.983607,782.7909091,659.5517241
200 FR,2024,92.6,93.08,93.98,95.22,93.48,-20.83333333,-8.181818182,-6.451612903,1961.166667,779.9272727,615.3225806
200 FR,2025,92.41,92.78,93.62,94.96,93.34,-27.02702703,-8.333333333,-5.970149254,2529.567568,791.1666667,567.9253731
200 FR,2026,92.23,92.47,93.27,94.7,93.2,-41.66666667,-8.333333333,-5.594405594,3874.916667,788.25,530.7902098
200 FR,2027,92.05,92.17,92.92,94.44,93.05,-83.33333333,-8.411214953,-5.263157895,7702.833333,792.5700935,498.0526316
500 FR,2020,251.57,257.04,260.27,262.37,255.59,-1.828153565,-2.743902439,-3.80952381,491.9085923,725.1554878,1000.504762
500 FR,2021,251.01,256.26,259.42,261.95,255.14,-1.904761905,-2.760736196,-3.162055336,510.1142857,727.190184,829.3003953
500 FR,2022,250.45,255.48,258.57,261.29,254.69,-1.988071571,-2.777777778,-2.941176471,529.9125249,729.25,769.5
500 FR,2023,249.89,254.7,257.73,260.7,254.25,-2.079002079,-2.786377709,-2.693602694,551.5218295,729.1331269,703.2222222
500 FR,2024,249.33,253.92,256.89,260.09,253.8,-2.178649237,-2.803738318,-2.5,575.2026144,731.2523364,651.225
500 FR,2025,248.78,253.15,256.05,259.5,253.36,-2.288329519,-2.821316614,-2.31884058,601.2906178,733.3981191,602.7391304
500 FR,2026,248.22,252.38,255.22,258.9,252.91,-2.403846154,-2.830188679,-2.173913043,628.6826923,733.3207547,563.826087
500 FR,2027,247.67,251.61,254.39,258.3,252.47,-2.538071066,-2.839116719,-2.046035806,660.6040609,733.2429022,529.4910486
1650 FR,2020,875.36,897.25,910.58,925.08,892.92,-0.456829603,-0.678733032,-0.551724138,431.8903609,629.040724,511.3889655
1650 FR,2021,873.22,894.99,908.56,924.84,891.2,-0.459347726,-0.670640835,-0.491400491,433.1116215,620.3174367,455.4668305
