event,course,age_start,age_end,mean,std
100 BK,LCM,15,19,0.7740,0.0330
100 BK,LCM,15,20,0.7678,0.0335
100 BK,LCM,15,21,0.7629,0.0348
100 BK,LCM,15,22,0.7662,0.0333
100 BK,LCM,15,23,0.7588,0.0361
100 BK,LCM,15,24,0.7686,0.0469
100 BK,LCM,15,25,0.7657,0.0615
100 BK,LCM,16,19,0.8011,0.0270
100 BK,LCM,16,20,0.7941,0.0289
100 BK,LCM,16,21,0.7877,0.0310
100 BK,LCM,16,22,0.7892,0.0303
100 BK,LCM,16,23,0.7835,0.0339
100 BK,LCM,16,24,0.7941,0.0353
100 BK,LCM,16,25,0.7889,0.0517
100 BK,LCM,17,19,0.8178,0.0226
100 BK,LCM,17,20,0.8106,0.0248
100 BK,LCM,17,21,0.8040,0.0267
100 BK,LCM,17,22,0.8041,0.0271
100 BK,LCM,17,23,0.8005,0.0328
100 BK,LCM,17,24,0.8027,0.0380
100 BK,LCM,17,25,0.8135,0.0301
100 BK,LCM,18,19,0.8245,0.0205
100 BK,LCM,18,20,0.8189,0.0211
100 BK,LCM,18,21,0.8127,0.0231
100 BK,LCM,18,22,0.8116,0.0240
100 BK,LCM,18,23,0.8123,0.0288
100 BK,LCM,18,24,0.8168,0.0312
100 BK,LCM,18,25,0.8134,0.0468
100 BK,LCM,19,20,0.8270,0.0195
100 BK,LCM,19,21,0.8216,0.0208
100 BK,LCM,19,22,0.8215,0.0211
100 BK,LCM,19,23,0.8235,0.0271
100 BK,LCM,19,24,0.8359,0.0244
100 BK,LCM,19,25,0.8314,0.0412
100 BK,LCM,20,21,0.8286,0.0200
100 BK,LCM,20,22,0.8278,0.0207
100 BK,LCM,20,23,0.8269,0.0237
100 BK,LCM,20,24,0.8409,0.0155
100 BK,LCM,20,25,0.8406,0.0213
100 BK,LCM,21,22,0.8319,0.0207
100 BK,LCM,21,23,0.8340,0.0215
100 BK,LCM,21,24,0.8436,0.0178
100 BK,LCM,21,25,0.8418,0.0240
100 BK,SCM,15,19,0.7842,0.0540
100 BK,SCM,15,20,0.7783,0.0484
100 BK,SCM,15,21,0.7775,0.0453
100 BK,SCM,15,22,0.7817,0.0470
100 BK,SCM,15,23,0.8005,0.1123
100 BK,SCM,15,24,0.9076,
100 BK,SCM,15,25,,
100 BK,SCM,16,19,0.8174,0.0418
100 BK,SCM,16,20,0.8114,0.0384
100 BK,SCM,16,21,0.8010,0.0464
100 BK,SCM,16,22,0.8119,0.0426
100 BK,SCM,16,23,0.8311,0.0587
100 BK,SCM,16,24,0.8331,0.0486
100 BK,SCM,16,25,0.8897,0.0702
100 BK,SCM,17,19,0.8304,0.0364
100 BK,SCM,17,20,0.8320,0.0392
100 BK,SCM,17,21,0.8230,0.0388
100 BK,SCM,17,22,0.8323,0.0334
100 BK,SCM,17,23,0.8341,0.0329
100 BK,SCM,17,24,0.8231,0.0380
100 BK,SCM,17,25,0.8182,
100 BK,SCM,18,19,0.8604,0.0354
100 BK,SCM,18,20,0.8571,0.0324
100 BK,SCM,18,21,0.8528,0.0326
100 BK,SCM,18,22,0.8590,0.0229
100 BK,SCM,18,23,0.8592,0.0177
100 BK,SCM,18,24,0.8748,0.0209
100 BK,SCM,18,25,0.8589,0.0221
100 BK,SCM,19,20,0.8800,0.0125
100 BK,SCM,19,21,0.8755,0.0183
